food,category,serving size,calories,proteins,fat,carbhohydrates,fiber,vitamins,minerals
cream cheese,1,11,51,5,2.9,1.3,0.2,0.8,0.5
neufchatel cheese,2,12,215,19.4,10.9,4.9,0.8,3.1,2.7
requeijao cremoso light catupiry,3,13,49,3.6,2.3,0.9,0,0.9,3.4
apple,4,14,30,2,1.3,0.5,0.002,1.5,0.091
cream cheese low fat,5,15,30,2.3,1.4,0.6,0.042,1.2,0.9
cream cheese fat free,6,16,19,0.2,0.1,0.091,0.075,1.4,1
gruyere cheese,7,17,116,9.1,5.3,2.8,0.5,0.1,0.1
cheddar cheese,8,18,113,9.3,5.3,2.6,0.3,0.9,0.1
parmesan cheese,9,19,71,4.5,2.7,1.4,0.1,0.6,0.046
romano cheese,10,20,19,1.3,0.9,0.4,0.035,0.2,0.088
parmesan cheese grated,11,21,21,1.4,0.8,0.4,0.036,0.7,0.075
port salut cheese,12,232,465,37.2,22,12.3,1,0.8,0.8
swiss cheese,13,225,98,7.7,4.6,2,0.3,0.4,0
goat cheese hard,14,224,128,10.1,7,2.3,0.2,0.6,0.6
